네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 경제/경영
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 20대

"날짜","경제/경영"
"2021-10-24",20
"2021-10-25",21
"2021-10-26",19
"2021-10-27",17
"2021-10-28",17
"2021-10-29",15
"2021-10-30",17
"2021-10-31",19
"2021-11-01",25
"2021-11-02",19
"2021-11-03",21
"2021-11-04",23
"2021-11-05",20
"2021-11-06",12
"2021-11-07",25
"2021-11-08",25
"2021-11-09",25
"2021-11-10",24
"2021-11-11",17
"2021-11-12",20
"2021-11-13",18
"2021-11-14",19
"2021-11-15",22
"2021-11-16",23
"2021-11-17",23
"2021-11-18",28
"2021-11-19",24
"2021-11-20",22
"2021-11-21",17
"2021-11-22",33
"2021-11-23",44
"2021-11-24",36
"2021-11-25",31
"2021-11-26",23
"2021-11-27",30
"2021-11-28",31
"2021-11-29",33
"2021-11-30",40
"2021-12-01",31
"2021-12-02",31
"2021-12-03",37
"2021-12-04",35
"2021-12-05",64
"2021-12-06",51
"2021-12-07",38
"2021-12-08",48
"2021-12-09",45
"2021-12-10",35
"2021-12-11",27
"2021-12-12",34
"2021-12-13",48
"2021-12-14",45
"2021-12-15",45
"2021-12-16",36
"2021-12-17",28
"2021-12-18",31
"2021-12-19",82
"2021-12-20",43
"2021-12-21",41
"2021-12-22",40
"2021-12-23",38
"2021-12-24",35
"2021-12-25",26
"2021-12-26",40
"2021-12-27",44
"2021-12-28",43
"2021-12-29",44
"2021-12-30",35
"2021-12-31",31
"2022-01-01",24
"2022-01-02",33
"2022-01-03",38
"2022-01-04",41
"2022-01-05",33
"2022-01-06",26
"2022-01-07",21
"2022-01-08",23
"2022-01-09",26
"2022-01-10",37
"2022-01-11",23
"2022-01-12",27
"2022-01-13",32
"2022-01-14",23
"2022-01-15",26
"2022-01-16",31
"2022-01-17",24
"2022-01-18",27
"2022-01-19",22
"2022-01-20",23
"2022-01-21",21
"2022-01-22",17
"2022-01-23",25
"2022-01-24",28
"2022-01-25",23
"2022-01-26",23
"2022-01-27",20
"2022-01-28",13
"2022-01-29",16
"2022-01-30",17
"2022-01-31",16
"2022-02-01",16
"2022-02-02",25
"2022-02-03",28
"2022-02-04",26
"2022-02-05",24
"2022-02-06",25
"2022-02-07",26
"2022-02-08",24
"2022-02-09",27
"2022-02-10",22
"2022-02-11",24
"2022-02-12",38
"2022-02-13",24
"2022-02-14",28
"2022-02-15",25
"2022-02-16",17
"2022-02-17",17
"2022-02-18",13
"2022-02-19",37
"2022-02-20",23
"2022-02-21",23
"2022-02-22",24
"2022-02-23",22
"2022-02-24",20
"2022-02-25",21
"2022-02-26",20
"2022-02-27",22
"2022-02-28",33
"2022-03-01",33
"2022-03-02",85
"2022-03-03",100
"2022-03-04",76
"2022-03-05",46
"2022-03-06",58
"2022-03-07",88
"2022-03-08",74
"2022-03-09",43
"2022-03-10",67
"2022-03-11",44
"2022-03-12",36
"2022-03-13",37
"2022-03-14",48
"2022-03-15",48
"2022-03-16",41
"2022-03-17",35
"2022-03-18",25
"2022-03-19",22
"2022-03-20",24
"2022-03-21",27
"2022-03-22",30
"2022-03-23",36
"2022-03-24",27
"2022-03-25",26
"2022-03-26",20
"2022-03-27",29
"2022-03-28",32
"2022-03-29",30
"2022-03-30",25
"2022-03-31",26
"2022-04-01",26
"2022-04-02",16
"2022-04-03",25
"2022-04-04",25
"2022-04-05",33
"2022-04-06",30
"2022-04-07",23
"2022-04-08",20
"2022-04-09",19
"2022-04-10",15
"2022-04-11",29
"2022-04-12",19
"2022-04-13",29
"2022-04-14",22
"2022-04-15",23
"2022-04-16",18
"2022-04-17",20
"2022-04-18",24
"2022-04-19",23
"2022-04-20",21
"2022-04-21",15
"2022-04-22",15
"2022-04-23",15
"2022-04-24",28
"2022-04-25",22
"2022-04-26",22
"2022-04-27",19
"2022-04-28",17
"2022-04-29",15
"2022-04-30",12
"2022-05-01",13
"2022-05-02",16
"2022-05-03",19
"2022-05-04",17
"2022-05-05",12
"2022-05-06",13
"2022-05-07",14
"2022-05-08",16
"2022-05-09",15
"2022-05-10",19
"2022-05-11",21
"2022-05-12",20
"2022-05-13",15
"2022-05-14",12
"2022-05-15",16
"2022-05-16",23
"2022-05-17",18
"2022-05-18",15
"2022-05-19",10
"2022-05-20",12
"2022-05-21",11
"2022-05-22",12
"2022-05-23",15
"2022-05-24",13
"2022-05-25",11
"2022-05-26",13
"2022-05-27",13
"2022-05-28",9
"2022-05-29",15
"2022-05-30",14
"2022-05-31",13
"2022-06-01",15
"2022-06-02",14
"2022-06-03",10
"2022-06-04",11
"2022-06-05",13
"2022-06-06",13
"2022-06-07",17
"2022-06-08",14
"2022-06-09",12
"2022-06-10",8
"2022-06-11",8
"2022-06-12",17
"2022-06-13",15
"2022-06-14",17
"2022-06-15",13
"2022-06-16",11
"2022-06-17",12
"2022-06-18",12
"2022-06-19",14
"2022-06-20",13
"2022-06-21",14
"2022-06-22",16
"2022-06-23",11
"2022-06-24",10
"2022-06-25",12
"2022-06-26",15
"2022-06-27",12
"2022-06-28",12
"2022-06-29",11
"2022-06-30",8
"2022-07-01",8
"2022-07-02",10
"2022-07-03",8
"2022-07-04",10
"2022-07-05",9
"2022-07-06",10
"2022-07-07",7
"2022-07-08",5
"2022-07-09",0
