네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
여가/생활편의
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 10대

"날짜","여가/생활편의"
"2021-11-22",59
"2021-11-23",56
"2021-11-24",53
"2021-11-25",55
"2021-11-26",60
"2021-11-27",67
"2021-11-28",71
"2021-11-29",74
"2021-11-30",69
"2021-12-01",71
"2021-12-02",68
"2021-12-03",73
"2021-12-04",74
"2021-12-05",81
"2021-12-06",89
"2021-12-07",73
"2021-12-08",70
"2021-12-09",70
"2021-12-10",65
"2021-12-11",75
"2021-12-12",82
"2021-12-13",85
"2021-12-14",74
"2021-12-15",76
"2021-12-16",82
"2021-12-17",76
"2021-12-18",74
"2021-12-19",85
"2021-12-20",93
"2021-12-21",81
"2021-12-22",81
"2021-12-23",90
"2021-12-24",100
"2021-12-25",91
"2021-12-26",83
"2021-12-27",81
"2021-12-28",77
"2021-12-29",81
"2021-12-30",92
"2021-12-31",85
"2022-01-01",61
"2022-01-02",52
"2022-01-03",49
"2022-01-04",45
"2022-01-05",47
"2022-01-06",46
"2022-01-07",44
"2022-01-08",50
"2022-01-09",51
"2022-01-10",47
"2022-01-11",43
"2022-01-12",50
"2022-01-13",49
"2022-01-14",46
"2022-01-15",54
"2022-01-16",51
"2022-01-17",52
"2022-01-18",51
"2022-01-19",47
"2022-01-20",49
"2022-01-21",51
"2022-01-22",56
"2022-01-23",52
"2022-01-24",51
"2022-01-25",52
"2022-01-26",47
"2022-01-27",44
"2022-01-28",43
"2022-01-29",45
"2022-01-30",44
"2022-01-31",46
"2022-02-01",52
"2022-02-02",56
"2022-02-03",56
"2022-02-04",50
"2022-02-05",47
"2022-02-06",48
"2022-02-07",43
"2022-02-08",43
"2022-02-09",41
"2022-02-10",40
"2022-02-11",43
"2022-02-12",45
"2022-02-13",48
"2022-02-14",58
"2022-02-15",43
"2022-02-16",40
"2022-02-17",40
"2022-02-18",39
"2022-02-19",43
"2022-02-20",44
"2022-02-21",42
"2022-02-22",40
"2022-02-23",39
"2022-02-24",41
"2022-02-25",37
"2022-02-26",40
"2022-02-27",37
"2022-02-28",35
"2022-03-01",30
"2022-03-02",18
"2022-03-03",17
"2022-03-04",18
"2022-03-05",28
"2022-03-06",27
"2022-03-07",20
"2022-03-08",20
"2022-03-09",25
"2022-03-10",20
"2022-03-11",20
"2022-03-12",28
"2022-03-13",32
"2022-03-14",30
"2022-03-15",21
"2022-03-16",19
"2022-03-17",19
"2022-03-18",20
"2022-03-19",27
"2022-03-20",27
"2022-03-21",21
"2022-03-22",22
"2022-03-23",20
"2022-03-24",19
"2022-03-25",22
"2022-03-26",28
"2022-03-27",29
"2022-03-28",22
"2022-03-29",21
"2022-03-30",24
"2022-03-31",23
"2022-04-01",24
"2022-04-02",30
"2022-04-03",30
"2022-04-04",23
"2022-04-05",20
"2022-04-06",23
"2022-04-07",20
"2022-04-08",23
"2022-04-09",29
"2022-04-10",30
"2022-04-11",25
"2022-04-12",23
"2022-04-13",24
"2022-04-14",25
"2022-04-15",31
"2022-04-16",35
"2022-04-17",36
"2022-04-18",32
"2022-04-19",27
"2022-04-20",29
"2022-04-21",28
"2022-04-22",30
"2022-04-23",36
"2022-04-24",39
"2022-04-25",36
"2022-04-26",36
"2022-04-27",39
"2022-04-28",42
"2022-04-29",55
"2022-04-30",69
"2022-05-01",63
"2022-05-02",53
"2022-05-03",55
"2022-05-04",67
"2022-05-05",84
"2022-05-06",69
"2022-05-07",55
"2022-05-08",51
"2022-05-09",34
"2022-05-10",32
"2022-05-11",32
"2022-05-12",33
"2022-05-13",33
"2022-05-14",43
"2022-05-15",39
"2022-05-16",31
"2022-05-17",29
"2022-05-18",30
"2022-05-19",29
"2022-05-20",34
"2022-05-21",40
"2022-05-22",41
"2022-05-23",34
"2022-05-24",30
"2022-05-25",31
"2022-05-26",30
"2022-05-27",38
"2022-05-28",46
"2022-05-29",44
"2022-05-30",36
"2022-05-31",41
"2022-06-01",43
"2022-06-02",36
"2022-06-03",37
"2022-06-04",49
"2022-06-05",50
"2022-06-06",41
"2022-06-07",32
"2022-06-08",31
"2022-06-09",22
"2022-06-10",33
"2022-06-11",38
"2022-06-12",36
"2022-06-13",33
"2022-06-14",29
"2022-06-15",32
"2022-06-16",32
"2022-06-17",32
"2022-06-18",33
"2022-06-19",41
"2022-06-20",37
"2022-06-21",33
"2022-06-22",34
"2022-06-23",34
"2022-06-24",34
"2022-06-25",37
"2022-06-26",44
"2022-06-27",41
"2022-06-28",36
"2022-06-29",34
"2022-06-30",41
"2022-07-01",49
"2022-07-02",55
"2022-07-03",58
"2022-07-04",60
"2022-07-05",52
"2022-07-06",49
"2022-07-07",49
"2022-07-08",51
"2022-07-09",57
